Date,Ticker,Open,High,Low,Close,Volume,Shares,Purchase_Price,Purchase_Date,Asset_Name,Asset_Class,Position_Value,Cost_Basis,Unrealized_Gain,Unrealized_Gain_Pct,Price_Change,Price_Change_Pct
2025-01-16,AAPL,236.28136958651152,236.9383864807084,227.0033243432251,227.23228454589844,71759100.0,150,185.5,15/01/2025,Apple Inc,Equity,34084.842681884766,27825.0,6259.842681884766,22.497188434446596,,
2025-01-17,AAPL,231.07489856287185,231.24413133243607,227.4512878984511,228.9445343017578,68488300.0,150,185.5,15/01/2025,Apple Inc,Equity,34341.68014526367,27825.0,6516.680145263672,23.420234124936826,1.712249755859375,0.7535239806619742
2025-01-21,AAPL,222.99146586562136,223.4095730413088,218.39227174297116,221.63758850097656,98070400.0,150,185.5,15/01/2025,Apple Inc,Equity,33245.638275146484,27825.0,5420.638275146484,19.481179784893026,-7.30694580078125,-3.1915790534446264
2025-01-22,AAPL,218.80040121474653,223.1109074563204,218.80040121474653,222.8222198486328,64126500.0,150,185.5,15/01/2025,Apple Inc,Equity,33423.33297729492,27825.0,5598.332977294922,20.119795066648415,1.18463134765625,0.5344902711080568
2025-01-23,AAPL,223.72813912330528,226.00782197454976,221.29912251598503,222.6529998779297,60234800.0,150,185.5,15/01/2025,Apple Inc,Equity,33397.94998168945,27825.0,5572.949981689453,20.02857136276533,-0.169219970703125,-0.07594393899229557
2025-01-24,AAPL,223.76795755359672,224.61413662079448,220.4131353788753,221.77696228027344,54697900.0,150,185.5,15/01/2025,Apple Inc,Equity,33266.544342041016,27825.0,5441.544342041016,19.55631389772153,-0.87603759765625,-0.39345420817888943
2025-01-27,AAPL,223.01137104866308,231.10475600574816,222.9715426392062,228.8250732421875,94863400.0,150,185.5,15/01/2025,Apple Inc,Equity,34323.760986328125,27825.0,6498.760986328125,23.35583463190701,7.0481109619140625,3.1780176306170693
2025-01-28,AAPL,229.81064487405345,239.10858953414348,229.7708164605127,237.1872711181641,75707600.0,150,185.5,15/01/2025,Apple Inc,Equity,35578.09066772462,27825.0,7753.090667724617,27.86375801518281,8.362197875976591,3.6544062927606147
2025-01-29,AAPL,233.06590496072295,238.780066940242,232.9563996116177,238.2823181152344,45486100.0,150,185.5,15/01/2025,Apple Inc,Equity,35742.34771728516,27825.0,7917.3477172851635,28.454079846487563,1.0950469970703125,0.4616803388765245
2025-01-30,AAPL,237.59540286874545,239.70585285329432,236.14198492507637,236.520263671875,55658300.0,150,185.5,15/01/2025,Apple Inc,Equity,35478.03955078125,27825.0,7653.03955078125,27.504185267857146,-1.7620544433594034,-0.73948182865472
2025-01-31,AAPL,246.07705979363328,246.07705979363328,232.3889674810629,234.93743896484372,100959800.0,150,185.5,15/01/2025,Apple Inc,Equity,35240.615844726555,27825.0,7415.615844726555,26.6509104931772,-1.5828247070312784,-0.6692131500526055
2025-02-03,AAPL,228.9545099800506,230.78622201033428,224.68381655532255,226.98341369628903,73063300.0,150,185.5,15/01/2025,Apple Inc,Equity,34047.51205444335,27825.0,6222.512054443352,22.36302625136874,-7.9540252685546875,-3.385592906605628
2025-02-04,AAPL,226.2268315478868,232.0803623471157,225.62952690670863,231.75184631347656,45067300.0,150,185.5,15/01/2025,Apple Inc,Equity,34762.776947021484,27825.0,6937.776947021484,24.933609872494102,4.768432617187528,2.1007846077986336
2025-02-05,AAPL,227.50107667347064,231.62243633567465,227.24225275297744,231.42333984375,39620300.0,150,185.5,15/01/2025,Apple Inc,Equity,34713.5009765625,27825.0,6888.5009765625,24.756517435983827,-0.3285064697265625,-0.14174923520661187
2025-02-06,AAPL,230.24864925075528,232.74735812237688,229.3925206475463,232.1699676513672,29925300.0,150,185.5,15/01/2025,Apple Inc,Equity,34825.49514770508,27825.0,7000.495147705078,25.159012210979615,0.7466278076171875,0.3226242470276697
2025-02-07,AAPL,231.5527419594936,232.94643248808816,226.23677336593997,226.6051177978516,39707200.0,150,185.5,15/01/2025,Apple Inc,Equity,33990.76766967774,27825.0,6165.767669677742,22.15909315248065,-5.564849853515597,-2.3968861734399383
2025-02-10,AAPL,228.7876615470872,229.8041745661949,226.4257278690688,226.8741912841797,33115600.0,150,185.5,15/01/2025,Apple Inc,Equity,34031.12869262695,27825.0,6206.128692626953,22.3041462448408,0.2690734863280966,0.11874113389094276
