Asset_Class,Current_Value,Cost_Basis,Unrealized_Gain,Number_of_Positions,Weight_Pct,Return_Pct
ETF,190078.4002685547,137016.0,53062.40026855469,4,36.124263904821454,38.72715614859191
Equity,336100.90339660645,296312.0,39788.903396606445,10,63.875736095178546,13.42804321006454
