Date,Portfolio_Value,Daily_Return,Cumulative_Return,Peak,Drawdown,Daily_Return_Pct,Portfolio_Gain_Loss,Return_Category
2025-01-16,320297.46479034424,,0.0,320297.46479034424,0.0,,0.0,Flat
2025-01-17,324209.5695114136,0.0122139734188344,1.2213973418834456,324209.5695114136,0.0,1.22139734188344,3912.104721069336,Positive
2025-01-21,393288.0953979492,0.2130675105939579,22.788388492360426,393288.0953979492,0.0,21.30675105939579,72990.63060760498,Positive
2025-01-22,396871.44176483154,0.0091112505280803,23.907144261853585,396871.44176483154,0.0,0.9111250528080299,76573.9769744873,Positive
2025-01-23,398276.53984069824,0.0035404363428581,24.34582961853802,398276.53984069824,0.0,0.35404363428581,77979.075050354,Positive
2025-01-24,396971.18728637695,-0.0032775030004111,23.938285788874623,398276.53984069824,-0.3277503000411186,-0.32775030004111,76673.72249603271,Negative
2025-01-27,393419.0786743164,-0.0089480262694683,22.829282751842904,398276.53984069824,-1.2196202086933616,-0.89480262694683,73121.61388397217,Negative
2025-01-28,398536.5923690796,0.0130077923826352,24.42702056038688,398536.5923690796,0.0,1.30077923826352,78239.12757873535,Positive
2025-01-29,397169.4745635986,-0.0034303444944771,24.000193015443383,398536.5923690796,-0.34303444944771,-0.34303444944771,76872.00977325434,Negative
2025-01-30,395604.0364074707,-0.0039414865854129,23.511447918084396,398536.5923690796,-0.7358310423081771,-0.39414865854129,75306.57161712646,Negative
2025-01-31,394440.5821990967,-0.00294095636369,23.14820613934112,398536.5923690796,-1.0277626316907096,-0.29409563636900005,74143.11740875244,Negative
2025-02-03,391057.83618927,-0.0085760597729753,22.09207976255545,398536.5923690796,-1.8765544552264315,-0.8576059772975301,70760.37139892578,Negative
2025-02-04,394548.1163406372,0.0089252274941702,23.181779349672627,398536.5923690796,-1.0007803812275062,0.89252274941702,74250.65155029297,Positive
2025-02-05,394927.74017333984,0.0009621737298446,23.3003016217584,398536.5923690796,-0.905525932835205,0.09621737298446,74630.2753829956,Positive
2025-02-06,397580.4496002197,0.0067169488416174,24.12850343990773,398536.5923690796,-0.239913420039084,0.6716948841617401,77282.98480987549,Positive
2025-02-07,393004.1593170166,-0.0115103503902285,22.69974087189972,398536.5923690796,-1.3881869715339668,-1.1510350390228499,72706.69452667236,Negative
2025-02-10,394740.7873916626,0.0044188541863374,23.241933135514014,398536.5923690796,-0.9524357487108116,0.44188541863374003,74443.32260131836,Positive
2025-02-11,396899.3092346192,0.0054682006823247,23.91584475837667,398536.5923690796,-0.4108237902892941,0.54682006823247,76601.84444427496,Positive
2025-02-12,396354.8406219482,-0.0013718053924579,23.74585633432613,398536.5923690796,-0.5474407592442221,-0.13718053924579,76057.37583160395,Negative
2025-02-13,400431.33155822754,0.0102849530735706,25.01857665977349,400431.33155822754,0.0,1.02849530735706,80133.8667678833,Positive
2025-02-14,400701.114654541,0.0006737312369231,25.102805580064857,400701.114654541,0.0,0.06737312369231,80403.64986419678,Positive
2025-02-18,424235.8076477051,0.0587337846900031,32.45056682711969,424235.8076477051,0.0,5.87337846900031,103938.34285736084,Positive
2025-02-19,426021.2230682373,0.0042085448430955,33.00799097710505,426021.2230682373,0.0,0.42085448430955,105723.75827789307,Positive
2025-02-20,423456.2735748291,-0.0060207082523617,32.20718866819914,426021.2230682373,-0.6020708252361784,-0.60207082523617,103158.80878448486,Negative
2025-02-21,419171.4836883545,-0.0101186123665196,30.86943537399829,426021.2230682373,-1.6078399405903945,-1.01186123665196,98874.01889801025,Negative
2025-02-24,416756.8196868897,-0.0057605636247434,30.115553664992145,426021.2230682373,-2.174634238788553,-0.57605636247434,96459.35489654547,Negative
2025-02-25,414733.37074279785,-0.0048552269537233,29.48381312173922,426021.2230682373,-2.6495985913902342,-0.48552269537233,94435.90595245361,Negative
2025-02-26,413888.4379577637,-0.0020372915338856,29.22001684549107,426021.2230682373,-2.8479297400003656,-0.20372915338855999,93590.97316741943,Negative
2025-02-27,408289.3573760986,-0.0135279946675785,27.47192914666085,426021.2230682373,-4.162202428421857,-1.35279946675785,87991.89258575434,Negative
2025-02-28,414275.3263092041,0.0146610946990506,29.340807171350725,426021.2230682373,-2.7571154024765177,1.46610946990506,93977.86151885986,Positive
2025-03-03,408370.9577178955,-0.0142522815536972,27.49740557116216,426021.2230682373,-4.143048372854108,-1.42522815536972,88073.49292755127,Negative
2025-03-04,403926.29455566406,-0.0108838865208966,26.1097382772169,426021.2230682373,-5.186344556603039,-1.0883886520896602,83628.82976531982,Negative
2025-03-05,407899.1397094727,0.009835569526809,27.350099376050157,426021.2230682373,-4.2537982563986,0.9835569526808999,87601.67491912848,Positive
2025-03-06,402381.8463897705,-0.0135261214907975,25.627546460024565,426021.2230682373,-5.548873013464961,-1.35261214907975,82084.38159942627,Negative
2025-03-07,403134.6543121338,0.0018708794373245,25.86258045345815,426021.2230682373,-5.372166342153728,0.18708794373245,82837.18952178955,Positive
2025-03-10,392667.8164672852,-0.0259636271228236,22.59473134584817,426021.2230682373,-7.829048130686633,-2.5963627122823603,72370.35167694098,Negative
2025-03-11,389589.99992370605,-0.0078382195191581,21.633806929667188,426021.2230682373,-8.551504284728074,-0.7838219519158101,69292.53513336182,Negative
2025-03-12,389552.4813842773,-9.63026243898657e-05,21.622093274845323,426021.2230682373,-8.560311014861966,-0.00963026243898657,69255.01659393305,Negative
2025-03-13,384718.8673400879,-0.0124081202794888,20.11299171284784,426021.2230682373,-9.6949056741086,-1.24081202794888,64421.40254974365,Negative
2025-03-14,391602.6141357422,0.0178929274855894,22.26216476364302,426021.2230682373,-8.079083169756117,1.78929274855894,71305.14934539795,Positive
2025-03-17,392949.7791290283,0.0034401327893565,22.68276284554416,426021.2230682373,-7.762863009740673,0.34401327893565004,72652.31433868408,Positive
2025-03-18,389586.8637847901,-0.0085581301297386,21.63282779643612,426021.2230682373,-8.55224043089784,-0.85581301297386,69289.39899444586,Negative
2025-03-19,393447.152633667,0.009908673027049,22.838047716426367,426021.2230682373,-7.646114482271415,0.9908673027049,73149.68784332275,Positive
2025-03-20,392701.7393493652,-0.0018945702855188,22.605322401291676,426021.2230682373,-7.821085409525519,-0.18945702855187999,72404.27455902094,Negative
2025-03-21,394369.7612762451,0.0042475542116098,23.126095154823044,426021.2230682373,-7.4295504726351265,0.42475542116098,74072.29648590088,Positive
2025-03-24,399756.6207122803,0.013659412979845,24.80792533713849,426021.2230682373,-6.165092472810951,1.3659412979845,79459.15592193604,Positive
2025-03-25,401092.9098510742,0.0033427567413717,25.225127870935825,426021.2230682373,-5.851425203098448,0.33427567413716996,80795.44506072998,Positive
2025-03-26,397663.3546447754,-0.0085505256315107,24.154387205366177,426021.2230682373,-6.656445005069555,-0.8550525631510699,77365.88985443115,Negative
2025-03-27,397292.47215271,-0.0009326544368081,24.0385940652899,426021.2230682373,-6.743502285783021,-0.09326544368081,76995.00736236578,Negative
2025-03-28,389590.0748443604,-0.0193872218786692,21.63383032062796,426021.2230682373,-8.551486698596156,-1.9387221878669199,69292.61005401617,Negative
2025-03-31,391558.0401611328,0.0050513743646027,22.248248332978005,426021.2230682373,-8.089546022824411,0.5051374364602701,71260.57537078857,Positive
2025-04-01,391289.6778869629,-0.0006853703580176,22.16446300725101,426021.2230682373,-8.152538723572311,-0.06853703580176,70992.21309661865,Negative
2025-04-02,393165.7424163818,0.0047945668783035,22.750188695291328,426021.2230682373,-7.712169927880074,0.47945668783035006,72868.27762603754,Positive
2025-04-03,377927.9708099365,-0.0387566106670295,17.992807422723512,426021.2230682373,-11.288933427290193,-3.87566106670295,57630.506019592285,Negative
2025-04-04,358650.6774902344,-0.0510078501953401,11.9742479775776,426021.2230682373,-15.813894221699831,-5.10078501953401,38353.21269989014,Negative
